Date,Percent per annum
06.11.17,-0.781843
03.11.17,-0.797681
02.11.17,-0.785128
01.11.17,-0.786149
31.10.17,-0.787721
30.10.17,-0.803173
27.10.17,-0.796159
26.10.17,-0.782323
25.10.17,-0.758527
24.10.17,-0.759917
23.10.17,-0.782637
20.10.17,-0.774451
19.10.17,-0.789702
18.10.17,-0.779914
17.10.17,-0.787778
16.10.17,-0.790239
13.10.17,-0.77715
12.10.17,-0.765988
11.10.17,-0.748876
10.10.17,-0.755407
09.10.17,-0.748262
06.10.17,-0.735618
05.10.17,-0.748013
04.10.17,-0.755724
03.10.17,-0.75739
02.10.17,-0.761406
29.09.17,-0.750836
28.09.17,-0.765734
27.09.17,-0.757494
26.09.17,-0.768193
25.09.17,-0.733234
22.09.17,-0.754317
21.09.17,-0.752025
20.09.17,-0.747253
19.09.17,-0.742657
18.09.17,-0.749184
15.09.17,-0.739234
14.09.17,-0.75879
13.09.17,-0.754685
12.09.17,-0.765689
11.09.17,-0.778495
08.09.17,-0.783275
07.09.17,-0.779253
06.09.17,-0.76659
05.09.17,-0.778813
04.09.17,-0.760967
01.09.17,-0.748843
31.08.17,-0.766048
30.08.17,-0.754572
29.08.17,-0.759834
28.08.17,-0.753966
25.08.17,-0.748932
24.08.17,-0.749711
23.08.17,-0.746325
22.08.17,-0.731537
21.08.17,-0.731747
18.08.17,-0.728753
17.08.17,-0.712694
16.08.17,-0.722361
15.08.17,-0.726713
14.08.17,-0.733191
11.08.17,-0.726905
10.08.17,-0.707242
09.08.17,-0.709688
08.08.17,-0.701547
07.08.17,-0.707318
04.08.17,-0.717076
03.08.17,-0.709976
02.08.17,-0.703521
01.08.17,-0.687928
31.07.17,-0.709923
28.07.17,-0.701455
27.07.17,-0.706834
26.07.17,-0.703875
25.07.17,-0.700868
24.07.17,-0.698285
21.07.17,-0.698686
20.07.17,-0.701759
19.07.17,-0.69854
18.07.17,-0.698156
17.07.17,-0.692422
14.07.17,-0.693302
13.07.17,-0.690928
12.07.17,-0.675504
11.07.17,-0.665831
10.07.17,-0.663471
07.07.17,-0.665656
06.07.17,-0.659296
05.07.17,-0.653008
04.07.17,-0.674353
03.07.17,-0.664346
30.06.17,-0.652626
29.06.17,-0.663909
28.06.17,-0.663433
27.06.17,-0.660377
26.06.17,-0.684275
23.06.17,-0.679051
22.06.17,-0.688571
21.06.17,-0.684455
20.06.17,-0.687997
19.06.17,-0.689756
16.06.17,-0.704961
15.06.17,-0.67459
14.06.17,-0.724486
13.06.17,-0.724097
12.06.17,-0.754032
09.06.17,-0.755009
08.06.17,-0.748708
07.06.17,-0.758923
06.06.17,-0.750941
05.06.17,-0.737524
02.06.17,-0.755807
01.06.17,-0.743474
31.05.17,-0.740429
30.05.17,-0.743661
29.05.17,-0.735765
26.05.17,-0.718198
25.05.17,-0.714986
24.05.17,-0.703714
23.05.17,-0.685971
22.05.17,-0.706539
19.05.17,-0.694222
18.05.17,-0.715465
17.05.17,-0.71389
16.05.17,-0.699359
15.05.17,-0.723831
12.05.17,-0.747144
11.05.17,-0.730906
10.05.17,-0.742006
09.05.17,-0.716217
08.05.17,-0.729529
05.05.17,-0.736603
04.05.17,-0.770977
03.05.17,-0.771993
02.05.17,-0.77349
28.04.17,-0.767143
27.04.17,-0.771133
26.04.17,-0.754992
25.04.17,-0.75177
24.04.17,-0.742047
21.04.17,-0.808445
20.04.17,-0.791467
19.04.17,-0.815472
18.04.17,-0.826643
13.04.17,-0.834835
12.04.17,-0.823738
11.04.17,-0.827701
10.04.17,-0.816822
07.04.17,-0.809507
06.04.17,-0.798507
05.04.17,-0.813854
04.04.17,-0.79964
03.04.17,-0.780192
31.03.17,-0.743541
30.03.17,-0.768063
29.03.17,-0.803288
28.03.17,-0.781527
27.03.17,-0.783802
24.03.17,-0.800076
23.03.17,-0.815327
22.03.17,-0.827612
21.03.17,-0.806974
20.03.17,-0.820857
17.03.17,-0.855004
16.03.17,-0.858116
15.03.17,-0.881208
14.03.17,-0.87236
13.03.17,-0.891805
10.03.17,-0.907851
09.03.17,-0.901264
08.03.17,-0.89175
07.03.17,-0.895546
06.03.17,-0.863521
03.03.17,-0.860956
02.03.17,-0.871371
01.03.17,-0.858996
28.02.17,-0.881034
27.02.17,-0.902865
24.02.17,-0.904369
23.02.17,-0.871394
22.02.17,-0.874594
21.02.17,-0.842497
20.02.17,-0.833805
17.02.17,-0.814013
16.02.17,-0.799675
15.02.17,-0.793474
14.02.17,-0.797054
13.02.17,-0.793563
10.02.17,-0.776355
09.02.17,-0.786509
08.02.17,-0.793733
07.02.17,-0.761953
06.02.17,-0.768145
03.02.17,-0.768006
02.02.17,-0.758098
01.02.17,-0.722582
31.01.17,-0.70255
30.01.17,-0.686601
27.01.17,-0.660174
26.01.17,-0.661498
25.01.17,-0.64568
24.01.17,-0.660539
23.01.17,-0.652406
20.01.17,-0.723828
19.01.17,-0.746078
18.01.17,-0.739688
17.01.17,-0.751563
16.01.17,-0.754413
13.01.17,-0.775024
12.01.17,-0.767203
11.01.17,-0.762972
10.01.17,-0.772781
09.01.17,-0.751347
06.01.17,-0.748755
05.01.17,-0.770749
04.01.17,-0.792114
03.01.17,-0.778623
02.01.17,-0.79053
30.12.16,-0.822444
29.12.16,-0.834485
28.12.16,-0.846919
27.12.16,-0.836961
23.12.16,-0.836306
22.12.16,-0.819984
21.12.16,-0.798751
20.12.16,-0.798267
19.12.16,-0.78089
16.12.16,-0.796256
15.12.16,-0.770923
14.12.16,-0.742535
13.12.16,-0.762237
12.12.16,-0.791022
09.12.16,-0.797781
08.12.16,-0.77372
07.12.16,-0.767006
06.12.16,-0.778754
05.12.16,-0.779228
02.12.16,-0.797736
01.12.16,-0.797584
30.11.16,-0.795554
29.11.16,-0.802319
28.11.16,-0.798652
25.11.16,-0.795976
24.11.16,-0.785543
23.11.16,-0.762316
22.11.16,-0.77904
21.11.16,-0.756082
18.11.16,-0.751928
17.11.16,-0.731366
16.11.16,-0.740696
15.11.16,-0.741206
14.11.16,-0.743417
11.11.16,-0.744166
10.11.16,-0.753707
09.11.16,-0.757883
08.11.16,-0.743635
07.11.16,-0.741747
04.11.16,-0.745698
03.11.16,-0.735226
02.11.16,-0.703752
01.11.16,-0.702304
31.10.16,-0.740973
28.10.16,-0.73982
27.10.16,-0.736092
26.10.16,-0.737049
25.10.16,-0.740956
24.10.16,-0.735268
21.10.16,-0.741193
20.10.16,-0.752107
19.10.16,-0.736552
18.10.16,-0.744734
17.10.16,-0.726688
14.10.16,-0.732629
13.10.16,-0.736762
12.10.16,-0.728407
11.10.16,-0.721751
10.10.16,-0.729482
07.10.16,-0.738684
06.10.16,-0.733582
05.10.16,-0.729276
04.10.16,-0.725634
03.10.16,-0.724805
30.09.16,-0.72178
29.09.16,-0.72605
28.09.16,-0.721464
27.09.16,-0.70778
26.09.16,-0.684602
23.09.16,-0.675909
22.09.16,-0.661597
21.09.16,-0.65372
20.09.16,-0.647061
19.09.16,-0.644268
16.09.16,-0.648231
15.09.16,-0.643954
14.09.16,-0.644139
13.09.16,-0.633677
12.09.16,-0.629546
